"filename", "language", "JavaScript", "Vue", "SCSS", "comment", "blank", "total"
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/login.vue", "Vue", 0, 134, 0, 0, 19, 153
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/notes/create.vue", "Vue", 0, 134, 0, 0, 22, 156
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/notes/delete.vue", "Vue", 0, 57, 0, 0, 5, 62
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/resource/index.vue", "Vue", 0, 150, 0, 0, 22, 172
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/send-verification-email.vue", "Vue", 0, 32, 0, 0, 5, 37
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/users/index.vue", "Vue", 0, 390, 0, 0, 60, 450
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/pages/verify-email.vue", "Vue", 0, 46, 0, 0, 9, 55
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/router.js", "JavaScript", 140, 0, 0, 7, 25, 172
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/emailValidationService.js", "JavaScript", 10, 0, 0, 1, 2, 13
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/fetchingService.js", "JavaScript", 209, 0, 0, 4, 81, 294
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/htmlMetaService.js", "JavaScript", 28, 0, 0, 0, 8, 36
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/localStorageService.js", "JavaScript", 17, 0, 0, 1, 3, 21
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/stringsService.js", "JavaScript", 40, 0, 0, 0, 11, 51
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/tokensService.js", "JavaScript", 88, 0, 0, 11, 24, 123
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/services/userService.js", "JavaScript", 28, 0, 0, 1, 8, 37
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/articlsParams.js", "JavaScript", 133, 0, 0, 0, 9, 142
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/categoryPages.js", "JavaScript", 53, 0, 0, 0, 11, 64
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/errors.js", "JavaScript", 116, 0, 0, 0, 38, 154
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/index.js", "JavaScript", 20, 0, 0, 0, 3, 23
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/metas.js", "JavaScript", 27, 0, 0, 0, 2, 29
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/modals.js", "JavaScript", 48, 0, 0, 0, 3, 51
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/tokens.js", "JavaScript", 82, 0, 0, 0, 29, 111
"/Users/erikmattheis/Dropbox/articl/review/frontend/src/store/users.js", "JavaScript", 25, 0, 0, 0, 9, 34
"Total", "-", 1123, 5992, 121, 694, 1110, 9040
